match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2
2021-ausopen-WS108,2021,ausopen,2108,O Danilovic,P Martic,,,,,,,,,,
2021-ausopen-WS109,2021,ausopen,2109,B Bencic,L Davis,,,,,,,,,,
2021-ausopen-WS110,2021,ausopen,2110,S Kuznetsova,B Strycova,,,,,,,,,,
2021-ausopen-WS111,2021,ausopen,2111,L Zhu,W Osuigwe,,,,,,,,,,
2021-ausopen-WS112,2021,ausopen,2112,L Fernandez,E Mertens,,,,,,,,,,
2021-ausopen-WS113,2021,ausopen,2113,K Muchova,J Ostapenko,,,,,,,,,,
2021-ausopen-WS114,2021,ausopen,2114,M Barthel,E Cocciaretto,,,,,,,,,,
2021-ausopen-WS115,2021,ausopen,2115,D Collins,A Bogdan,,,,,,,,,,
2021-ausopen-WS116,2021,ausopen,2116,J Paolini,Ka Pliskova,,,,,,,,,,
2021-ausopen-WS117,2021,ausopen,2117,S Kenin,M Inglis,,,,,,,,,,
2021-ausopen-WS118,2021,ausopen,2118,A Sevastova,K Kanepi,,,,,,,,,,
2021-ausopen-WS119,2021,ausopen,2119,N Podoroska,C Mchale,,,,,,,,,,
2021-ausopen-WS120,2021,ausopen,2120,Y Wang,D Vekic,,,,,,,,,,
2021-ausopen-WS121,2021,ausopen,2121,J Brady,A Bolsova,,,,,,,,,,
2021-ausopen-WS122,2021,ausopen,2122,M Brengle,A Rodionova,,,,,,,,,,
2021-ausopen-WS123,2021,ausopen,2123,C Paquet,M Sherif,,,,,,,,,,
2021-ausopen-WS124,2021,ausopen,2124,K Juvan,J Konta,,,,,,,,,,
2021-ausopen-WS125,2021,ausopen,2125,V Azarenka,J Pegula,,,,,,,,,,
2021-ausopen-WS126,2021,ausopen,2126,D Aiava,S Stosur,,,,,,,,,,
2021-ausopen-WS127,2021,ausopen,2127,N Hibino,A Sharma,,,,,,,,,,
2021-ausopen-WS128,2021,ausopen,2128,K Mladenovic,M Sakkari,,,,,,,,,,
2021-ausopen-WS129,2021,ausopen,2129,Y Putintseva,S Stephens,,,,,,,,,,
2021-ausopen-WS130,2021,ausopen,2130,A Van Uytvanck,C Burel,,,,,,,,,,
2021-ausopen-WS131,2021,ausopen,2131,C Gauff,J Teichmann,,,,,,,,,,
2021-ausopen-WS132,2021,ausopen,2132,M Bouzkova,E Svitolina,,,,,,,,,,
2021-ausopen-WS133,2021,ausopen,2133,B Andreescu,M Buzarnescu,,,,,,,,,,
2021-ausopen-WS134,2021,ausopen,2134,S Hsieh,T Pironkova,,,,,,,,,,
2021-ausopen-WS135,2021,ausopen,2135,K Flipkens,V Williams,,,,,,,,,,
2021-ausopen-WS136,2021,ausopen,2136,S Errani,Q Wang,,,,,,,,,,
2021-ausopen-WS137,2021,ausopen,2137,M Vondrousova,R Peterson,,,,,,,,,,
2021-ausopen-WS138,2021,ausopen,2138,R Marino,K Birrell,,,,,,,,,,
2021-ausopen-WS139,2021,ausopen,2139,P Tig,S Cirstea,,,,,,,,,,
2021-ausopen-WS140,2021,ausopen,2140,G Minnen,P Kvitova,,,,,,,,,,
2021-ausopen-WS141,2021,ausopen,2141,G Muguruza,M Gasparyan,,,,,,,,,,
