WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Galfi D.,Dart H.,91,88,676,685,6,4,6,0,,,2,0,Completed,2.2,1.66,2.1,1.81,2.2,1.83,2.09,1.75
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Gauff C.,Ruse E.G.,12,101,2687,626,6,2,7,6,,,2,0,Completed,1.1,7,1.11,7.62,1.13,8.25,1.1,7.14
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Garcia C.,Kalinskaya A.,17,60,2220,948,6,3,6,1,,,2,0,Completed,1.33,3.4,1.37,3.32,1.39,3.74,1.33,3.31
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Tomljanovic A.,Rodina E.,46,139,1100,400,1,6,6,2,7,5,2,1,Completed,1.11,6.5,1.13,6.91,1.13,7.5,1.12,6.47
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Williams S.,Kontaveit A.,605,2,61,4360,7,6,2,6,6,2,2,1,Completed,3,1.4,3.19,1.4,3.19,1.44,2.97,1.4
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Krunic A.,Krejcikova B.,96,23,652,2003,2,6,6,4,6,2,2,1,Completed,3.5,1.3,3.39,1.36,3.74,1.36,3.36,1.33
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Samsonova L.,Fernandez L.A.,35,14,1407,2540,6,3,7,6,,,2,0,Completed,1.53,2.5,1.59,2.49,1.59,2.65,1.54,2.49
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Andreescu B.,Haddad Maia B.,48,15,1082,2317,6,2,6,4,,,2,0,Completed,2.2,1.66,2.18,1.75,2.25,1.88,2.13,1.72
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Bencic B.,Cirstea S.,13,37,2635,1330,3,6,7,5,6,2,2,1,Completed,1.44,2.75,1.49,2.79,1.5,2.85,1.46,2.72
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Davis L.,Alexandrova E.,105,28,604,1750,0,6,6,4,7,6,2,1,Completed,3.2,1.36,3.19,1.4,3.26,1.42,3.13,1.37
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Azarenka V.,Kostyuk M.,26,65,1841,915,6,2,6,3,,,2,0,Completed,1.61,2.3,1.67,2.32,1.68,2.4,1.62,2.3
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Pegula J.,Sasnovich A.,8,32,3201,1461,6,4,6,4,,,2,0,Completed,1.4,3,1.4,3.16,1.43,3.2,1.39,3
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Swiatek I.,Stephens S.,1,51,8605,1066,6,3,6,2,,,2,0,Completed,1.2,4.5,1.2,5.14,1.22,5.75,1.19,4.7
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Niemeier J.,Putintseva Y.,108,38,601,1295,6,4,6,3,,,2,0,Completed,2.2,1.66,2.49,1.6,2.49,1.68,2.31,1.62
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Martic P.,Badosa P.,54,4,1049,3980,6,7,6,1,6,2,2,1,Completed,2.5,1.53,2.48,1.6,2.6,1.6,2.47,1.55
43,New York,US Open,01/09/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Kvitova P.,Kalinina A.,21,47,2077,1091,,,,,,,,,Walkover,1.28,3.75,1.31,3.78,1.32,3.9,1.29,3.65
